"PERIOD","SECTOR","CLASSIFICATION","UNIT_MEAS","VALUE","STATUS"
"1999","S1","P5","MCHF","127162.501994344","A"
"1999","S1","P5","AC","-0.287911438122094","A"
"1999","S1","P5","ACPP","1.39917856112933","A"
"1999","S1","P51G","MCHF","123364.328939515","A"
"1999","S1","P51G","AC","3.10589739271577","A"
"1999","S1","P51G","ACPP","2.63223109730738","A"
"1999","S1","P5111_N113T117G","MCHF","82499.1950915055","A"
"1999","S1","P5111_N113T117G","AC","5.51490267977423","A"
"1999","S1","P5111_N113T117G","ACPP","5.95184209951926","A"
"1999","S1","P5111_N111_112G","MCHF","40865.1338480095","A"
"1999","S1","P5111_N111_112G","AC","-1.43701721974198","A"
"1999","S1","P5111_N111_112G","ACPP","-3.62790847591796","A"
"1999","S1","P52","MCHF","2989.92679941037","A"
"1999","S1","P52","AC","-50.753509764538","A"
"1999","S1","P52","ACPP","-9.35949456555303","A"
"1999","S1","P53","MCHF","808.24625541864","A"
"1999","S1","P53","AC","-55.3490933161948","A"
"1999","S1","P53","ACPP","-44.0186251203311","A"
"1999","S13","P3","MCHF","52700.43542224","A"
"1999","S13","P3","AC","2.03240488265009","A"
"1999","S13","P3","ACPP","2.03031758692561","A"
"1999","S14_S15","P3","MCHF","258963.801177214","A"
"1999","S14_S15","P3","AC","2.90885662940762","A"
"1999","S14_S15","P3","ACPP","2.33015656689428","A"
"1999","S2","P7","MCHF","194684.074790696","A"
"1999","S2","P7","AC","3.68444136369839","A"
"1999","S2","P7","ACPP","4.6235587909769","A"
"1999","S2","P71","MCHF","139560.79096146","A"
"1999","S2","P71","AC","1.63166234424971","A"
"1999","S2","P71","ACPP","2.71851223998518","A"
"1999","S2","P71XF11","MCHF","121893.220503675","A"
"1999","S2","P71XF11","AC","3.81298755319065","A"
"1999","S2","P71XF11","ACPP","4.9365712307898","A"
"1999","S2","P72","MCHF","55123.2838292358","A"
"1999","S2","P72","AC","9.27238387320649","A"
"1999","S2","P72","ACPP","9.80935351316643","A"
"1999","S2","P6","MCHF","209388.443334108","A"
"1999","S2","P6","AC","3.71073800206463","A"
"1999","S2","P6","ACPP","3.6951146194145","A"
"1999","S2","P61","MCHF","140930.678875645","A"
"1999","S2","P61","AC","1.23286573079339","A"
"1999","S2","P61","ACPP","2.06287195135254","A"
"1999","S2","P61XF11","MCHF","124209.213309645","A"
"1999","S2","P61XF11","AC","5.9279629891398","A"
"1999","S2","P61XF11","ACPP","6.77393199201445","A"
"1999","S2","P62","MCHF","68457.7644584625","A"
"1999","S2","P62","AC","9.21397785150546","A"
"1999","S2","P62","ACPP","7.32025018389936","A"
"2000","S1","B1GQ","MCHF","476794.431832234","A"
"2000","S1","B1GQ","AC","5.12937796965401","A"
"2000","S1","B1GQ","ACPP","3.63321686150904","A"
"2000","S1","P3","MCHF","322925.280433317","A"
"2000","S1","P3","AC","3.61319731668025","A"
"2000","S1","P3","ACPP","2.43372618425524","A"
"2000","S1","P5","MCHF","133109.696766636","A"
"2000","S1","P5","AC","4.67684630218765","A"
"2000","S1","P5","ACPP","-0.17230756674478","A"
"2000","S1","P51G","MCHF","131257.706660789","A"
"2000","S1","P51G","AC","6.39842796465405","A"
"2000","S1","P51G","ACPP","4.7866295200973","A"
"2000","S1","P5111_N113T117G","MCHF","87426.9081839229","A"
"2000","S1","P5111_N113T117G","AC","5.97304384236931","A"
"2000","S1","P5111_N113T117G","ACPP","5.76987439057418","A"
"2000","S1","P5111_N111_112G","MCHF","43830.7984768658","A"
"2000","S1","P5111_N111_112G","AC","7.25720033093876","A"
"2000","S1","P5111_N111_112G","ACPP","2.80163882622383","A"
"2000","S1","P52","MCHF","5909.45731265828","A"
"2000","S1","P52","AC","97.6455515173029","A"
"2000","S1","P52","ACPP","-66.5958317501652","A"
"2000","S1","P53","MCHF","-4057.46720681125","A"
"2000","S1","P53","AC","-602.008785021793","A"
"2000","S1","P53","ACPP","-511.34630699376","A"
"2000","S13","P3","MCHF","54816.02765465","A"
"2000","S13","P3","AC","4.01437334522896","A"
"2000","S13","P3","ACPP","1.22677017219487","A"
"2000","S14_S15","P3","MCHF","268109.252778667","A"
"2000","S14_S15","P3","AC","3.53155597804771","A"
"2000","S14_S15","P3","ACPP","2.67934780041133","A"
"2000","S2","P7","MCHF","221707.835893293","A"
"2000","S2","P7","AC","13.8808277624403","A"
"2000","S2","P7","ACPP","8.5223593650782","A"
"2000","S2","P71","MCHF","158119.28639791","A"
"2000","S2","P71","AC","13.2977860820337","A"
"2000","S2","P71","ACPP","6.45644416151146","A"
"2000","S2","P71XF11","MCHF","140332.453278268","A"
"2000","S2","P71XF11","AC","15.1273653271284","A"
"2000","S2","P71XF11","ACPP","8.65387817188059","A"
"2000","S2","P72","MCHF","63588.5494953836","A"
"2000","S2","P72","AC","15.3569691028787","A"
"2000","S2","P72","ACPP","13.7528307709955","A"
"2000","S2","P6","MCHF","242467.290525574","A"
"2000","S2","P6","AC","15.7978380586576","A"
"2000","S2","P6","ACPP","12.2755111063334","A"
"2000","S2","P61","MCHF","161144.249487266","A"
"2000","S2","P61","AC","14.3429172220597","A"
"2000","S2","P61","ACPP","10.6149147775084","A"
"2000","S2","P61XF11","MCHF","138723.389536266","A"
"2000","S2","P61XF11","AC","11.6852654001099","A"
"2000","S2","P61XF11","ACPP","9.15002696775314","A"
"2000","S2","P62","MCHF","81323.0410383082","A"
"2000","S2","P62","AC","18.7930130082642","A"
"2000","S2","P62","ACPP","15.6941002146839","A"
"2001","S1","B1GQ","MCHF","489674.255649415","A"
"2001","S1","B1GQ","AC","2.7013368775483","A"
"2001","S1","B1GQ","ACPP","1.59219771850951","A"
"2001","S1","P3","MCHF","332162.154800339","A"
"2001","S1","P3","AC","2.86037511669168","A"
"2001","S1","P3","ACPP","1.9571609513011","A"
"2001","S1","P5","MCHF","139617.173491441","A"
"2001","S1","P5","AC","4.88880741439449","A"
"2001","S1","P5","ACPP","3.84215893796924","A"
"2001","S1","P51G","MCHF","131796.19969051","A"
"2001","S1","P51G","AC","0.410256314406726","A"
"2001","S1","P51G","ACPP","-1.18592563908017","A"
"2001","S1","P5111_N113T117G","MCHF","88017.2533397156","A"
"2001","S1","P5111_N113T117G","AC","0.675244233218014","A"
"2001","S1","P5111_N113T117G","ACPP","-0.0937107719596831","A"
"2001","S1","P5111_N111_112G","MCHF","43778.9463507944","A"
"2001","S1","P5111_N111_112G","AC","-0.118300664996475","A"
"2001","S1","P5111_N111_112G","ACPP","-3.36450718956816","A"
"2001","S1","P52","MCHF","7027.92083774563","A"
"2001","S1","P52","AC","18.9266706892283","A"
"2001","S1","P52","ACPP","42.2833153343486","A"
"2001","S1","P53","MCHF","793.052963185394","A"
"2001","S1","P53","AC","119.545517505455","A"
"2001","S1","P53","ACPP","102.827459236593","A"
"2001","S13","P3","MCHF","56611.17524413","A"
"2001","S13","P3","AC","3.27485895327864","A"
"2001","S13","P3","ACPP","0.381749909890679","A"
"2001","S14_S15","P3","MCHF","275550.979556209","A"
"2001","S14_S15","P3","AC","2.77563220978605","A"
"2001","S14_S15","P3","ACPP","2.27926014899154","A"
"2001","S2","P7","MCHF","224168.403929608","A"
"2001","S2","P7","AC","1.10982456997996","A"
"2001","S2","P7","ACPP","1.64416409876935","A"
"2001","S2","P71","MCHF","161056.679727386","A"
"2001","S2","P71","AC","1.85770717563491","A"
"2001","S2","P71","ACPP","2.17932309605334","A"
"2001","S2","P71XF11","MCHF","143501.970255966","A"
"2001","S2","P71XF11","AC","2.25857733094203","A"
"2001","S2","P71XF11","ACPP","2.34064936877539","A"
"2001","S2","P72","MCHF","63111.7242022216","A"
"2001","S2","P72","AC","-0.749860308099457","A"
"2001","S2","P72","ACPP","0.313437742664799","A"
"2001","S2","P6","MCHF","242063.331287243","A"
"2001","S2","P6","AC","-0.166603601440775","A"
"2001","S2","P6","ACPP","-0.0815379650537326","A"
"2001","S2","P61","MCHF","163471.234145736","A"
"2001","S2","P61","AC","1.44403828611558","A"
"2001","S2","P61","ACPP","1.58338136280786","A"
"2001","S2","P61XF11","MCHF","141815.324707736","A"
